FID,YEAR_,DISTRICT,COSITE,ROADWAY,DESC_FRM,DESC_TO,AADT,AADTFLG,KFLG,K100FLG,DFLG,TFLG,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,KFCTR,K100FCTR,DFCTR,TFCTR,Shape_Leng,Shape__Length
14634,2024,5,795115,79080000,ATLANTIC AVE,SEABREEZE BLVD,15800,C,F,F,F,A,79,Volusia,5,1.407,2.433,9,0,57.7,5.3,1650.3041,1650.30405006407
14635,2024,4,868120,86022500,SR820/HOLLYWOOD BLVD,JOHNSON ST,11300,F,F,F,F,F,86,Broward,4,0,0.52,9,0,55,8.2,836.9744,836.974397271557
14636,2024,5,758398,75500380,AEROSPACE PKWY,MONUMENT PKWY,11100,F,F,F,F,1,75,Orange,5,0,1.33,9.5,0,52.9,6.7,2152.7556,2152.75561787434
14637,2024,2,722610,72270205,GORE I-10 EB,GORE MCDUFF AVE,4200,C,F,F,W, ,72,Duval,2,0,0.159,8,0,99.9,0,247.3981,247.398100338569
14638,2024,5,795090,79190000,BELLEVUE AVE,US-92/SR-600/W ISB,32500,F,F,F,F,F,79,Volusia,5,7.13,8.197,9,0,57.7,6.8,1719.0897,1719.08965428198
14639,2024,5,797072,79000154,TOMOKA FARMS RD,SPRUCE CK BLVD,8600,S,F,F,F,2,79,Volusia,5,0,0.679,9,0,57.7,4.2,1092.7623,1092.76225482617
14640,2024,5,758404,75000503,APOPKA BLVD,US-441/OBT,5000,C,F,F,F,F,75,Orange,5,0,0.08,9,0,52.9,4.5,132.9658,132.965804466744
14641,2024,3,555096,55670500,MOON LN,CR-0356,7700,F,F,F,F,A,55,Leon,3,0.86,1.906,9,0,66.1,3.5,1691.2932,1691.29316172618
14642,2024,5,791005,79160000,S WOODLAND BLVD,W NEW HAMPSHIRE AVE,27000,C,F,F,F,A,79,Volusia,5,0,1.164,9,0,57.7,6.7,1872.8641,1872.86412247798
14643,2024,6,876411,87281229,87281224 NB TO AIRPO,SR 953/LE JEUNE RD,14000,C,F,F,W,A,87,Miami-Dade,6,0,0.034,9,0,99.9,7.6,53.0128,53.0127785125574
14644,2024,4,865123,86020000,N/A,SR-816/OAKLAND PARK,53000,C,F,F,F,2,86,Broward,4,2.981,4.093,9,0,55,2.8,1788.4417,1788.4417089862
14645,2024,5,755096,75020000,N/A,EDGEWOOD DR,49500,C,F,F,F,F,75,Orange,5,10.724,11.089,9,0,52.9,5.3,587.4257,587.425663313578
14646,2024,2,724406,72160300,ACOSTA BRIDGE CONN,SAN MARCO BLVD,1600,C,F,F,W,F,72,Duval,2,0,0.072,9,0,99.9,1.5,114.124,114.123995408269
14647,2024,5,708078,70000240,MINTON RD,EMERSON DR,4000,E,F,F,F,F,70,Brevard,5,0,1.664,9,0,53.8,4.5,2669.367,2669.36699895279
14648,2024,4,864288,86080005,EB SR-84,RAMP 86075046,10500,F,F,F,W,F,86,Broward,4,0,0.208,8,0,99.9,3.3,333.9866,333.986647395687
14649,2024,4,864512,86075034,NB I-75/SR-93,WB GRIFFIN RD,8800,F,F,F,W,F,86,Broward,4,0,0.261,8,0,99.9,4.9,430.3998,430.399843833254
14650,2024,5,758351,75000443,LAKE NONA BLVD,NARCOOSSEE RD,7100,E,F,F,F,F,75,Orange,5,0,2.151,9,0,52.9,5.4,3459.8935,3459.89353135299
14651,2024,5,758408,75000507,S BINION RD,N/A,5600,C,F,F,F,F,75,Orange,5,0,0.562,9,0,52.9,4.5,903.8728,903.872779586766
14652,2024,2,722176,72250000,72250001 WB OFF,N/A,19800,C,F,F,F,F,72,Duval,2,0.408,0.781,9,0,54.9,15.8,599.4578,599.457754666058
14653,2024,5,758449,75000548,CENTRAL FLORIDA PKWY,CENTRAL FLORIDA PKWY,8900,C,F,F,F,F,75,Orange,5,0,0.066,9,0,52.9,4.5,106.4031,106.403114845283
14654,2024,5,797080,79000209,N/A,SPRUCE CREEK RD,12700,F,F,F,F,1,79,Volusia,5,1.25,2.066,9,0,57.7,7.8,1308.8334,1308.83335716141
14655,2024,6,876358,87270504,NB I-95,NB NW 3 AVE,5600,F,F,F,W,1,87,Miami-Dade,6,0,0.144,8,0,99.9,1.3,227.3483,227.348285318042
14656,2024,5,795046,79070001,DIXIE FWY,SR-44/N CAUSEWAY,7900,S,F,F,F,2,79,Volusia,5,0.934,1.461,9,0,57.7,14.4,858.8566,858.856610477623
14657,2024,4,860123,86028000,ROCK ISLAND RD,ACCESS TO RAMP,47000,C,F,F,F,2,86,Broward,4,1.684,3.006,9,0,55,4.2,2129.262,2129.26197236402
14658,2024,6,871095,87015000,SW 232 ST,SR 5/US-1/S DIXIE,37500,C,F,F,F,A,87,Miami-Dade,6,1.407,3.032,9,0,52.7,2,2641.6741,2641.67408094835
14659,2024,5,757031,75500000,FOREST CITY RD,N/A,18700,C,F,F,F,A,75,Orange,5,2.578,5.525,9,0,52.9,16.5,4742.7215,4742.72148110038
14660,2024,5,758294,75520000,N/A,US-441/N OBT,8000,S,F,F,F,F,75,Orange,5,2.536,3.965,9,0,52.9,5.4,2304.6881,2304.68806039967
14661,2024,2,724352,72270002,GORE AT ROMONA BLVD,GORE AT I-10 EB,6600,C,F,F,W,F,72,Duval,2,0,0.212,8,0,99.9,21.6,338.3624,338.362443526068
14662,2024,6,870081,87260527,NW 67 AVE/ LUDLAM RD,SR-823 / NW 57 AVE,3300,C,F,F,W,A,87,Miami-Dade,6,0,1.008,9,0,99.9,1.9,1590.236,1590.23595690378
14663,2024,3,560009,56502000,CR-379A,SR-65,750,F,F,F,F,F,56,Liberty,3,0,9.442,9.5,0,60.7,15.4,15213.9358,15213.9357728819
14664,2024,5,755141,75030000,GARLAND AVE/SR526,GARLAND AVE,9200,S,F,F,W,F,75,Orange,5,0.945,1.069,9,0,99.9,3.7,199.5255,199.525548792892
14665,2024,5,758289,75514000,43 WEST OF 75514003,OSCEOLA CO LINE,41500,S,F,F,F,F,75,Orange,5,0,1.882,9,0,52.9,5.4,3022.8684,3022.86836068285
14666,2024,2,720653,72190000,N/A,N/A,27500,C,F,F,F,F,72,Duval,2,1.461,2.223,9,0,54.9,1.7,1222.8319,1222.83193281328
14667,2024,2,720105,72040443,GORE AT SR-115 SB,GORE AT I-95 SB,13500,C,F,F,W,F,72,Duval,2,0,0.7,8,0,99.9,2.9,1120.1895,1120.18945325224
14668,2024,5,798149,79000297,SR 400/BEVILLE RD,HANCOCK BLVD,1200,E,F,F,F,F,79,Volusia,5,0,0.103,9,0,57.7,6.7,166.4657,166.465707330555
