FID,YEAR_,DISTRICT,COSITE,ROADWAY,DESC_FRM,DESC_TO,AADT,AADTFLG,KFLG,K100FLG,DFLG,TFLG,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,KFCTR,K100FCTR,DFCTR,TFCTR,Shape_Leng,Shape__Length
881,2024,7,152728,15002000,I-275/SR-93,N/A,17000,S,F,F,W,F,15,Pinellas,7,0,0.049,8,0,99.9,18.5,78.8483,78.8482808322128
882,2024,7,159251,15000441,FORELOCK RD,CR-582/KEYSTONE RD,3000,X,F,F,F,F,15,Pinellas,7,0,0.643,9,0,53.4,5.9,1034.4543,1034.45434504276
883,2024,4,937539,93000378,CHARLESTON SHORES BL,HAGAN RANCH RD,7500,S,F,F,F,F,93,Palm Beach,4,0,0.825,9,0,58.6,4.7,1326.9923,1326.99226133806
884,2024,2,345011,34040000,N/A,N/A,5500,C,F,F,F,F,34,Levy,2,12.737,12.949,9.5,0,55.5,8.8,341.789,341.789016720973
885,2024,3,470328,47020000,GULF CO LINE,SR-73,3407,C,A,A,A,A,47,Calhoun,3,0,2.46,9.5,0,69.9,10.5,3966.0656,3966.06563760402
886,2024,1,174485,17000105,MCINTOSH RD,HONORE AVE RA,10400,S,F,F,F,2,17,Sarasota,1,0,1.113,9,0,54,4.1,1791.6109,1791.61091202122
887,2024,7,159143,15000311,1 ST S,1 ST S,4200,C,F,F,F,F,15,Pinellas,7,0.19,0.51,9,0,53.4,5.9,516.5969,516.596902714732
888,2024,1,974033,16470020,SR 37/SO FLORIDA AVE,SR 570 EB,3500,C,F,F,W,F,16,Polk,8,0,0.2,9,0,99.9,14.1,321.6329,321.632851290489
889,2024,4,869680,86000248,NW 123 AV,CORAL RIDGE DR,6000,F,F,F,F,F,86,Broward,4,0,0.466,9,0,53.7,8.2,752.2659,752.265897466338
890,2024,3,485058,48013000,SPANISH TRAIL RD,US-90/SR-10A,5300,C,F,F,F,F,48,Escambia,3,5.658,6.361,9,0,55.1,2.6,1135.1565,1135.15650371222
891,2024,1,174530,17000542,SR 45/US 41,ORTIZ BLVD,650,F,F,F,F,1,17,Sarasota,1,0,1.3,9.5,0,54,10.6,2117.5608,2117.5608043869
892,2024,3,470136,47510000,SR-73,SR-71,250,C,F,F,F,A,47,Calhoun,3,4.032,9.656,9.5,0,61.6,5.4,9066.1326,9066.13263599577
893,2024,2,350104,35010000,NE COUNTRY KITCHEN R,SE ROLLERCOASTER HIL,6200,C,F,F,F,A,35,Madison,2,21.559,22.064,9.5,0,57.3,7.3,812.9913,812.991292716704
894,2024,3,460104,46640000,SR-77,CR-2301,2800,F,F,F,F,1,46,Bay,3,0,9.001,9.5,0,55.7,12.8,14521.1244,14521.1243626027
895,2024,2,309101,30502000,US-19/SR-55,SE 349 HWY,1300,C,F,F,F,F,30,Dixie,2,0,6.919,9.5,0,58.8,13.6,11129.7907,11129.7907343731
896,2024,7,155733,15000507,NEBRASKA AVE,ALDERMAN RD,18500,X,F,F,F,F,15,Pinellas,7,0,1.138,9,0,53.4,4.6,1840.5359,1840.53586553558
897,2024,7,152722,15000319,8 ST S,5 AVE S,15000,F,F,F,W,F,15,Pinellas,7,0,0.666,9,0,99.9,7.3,1071.5351,1071.53514834814
898,2024,2,320103,32040000,US-41/SR-25,N/A,2200,C,F,F,F,F,32,Hamilton,2,0.065,5.925,9,0,56.4,30.1,9429.9538,9429.95375013271
899,2024,4,866201,86000258,MCINTOSH RD,SW 19 AV,6800,R,F,F,F,F,86,Broward,4,0,0.3,9,0,55.8,3,482.4838,482.483796875325
900,2024,2,339101,33503000,NW TURLINGTON RD,N CR-53,450,C,F,F,F,F,33,Lafayette,2,0,1.059,9.5,0,58,16.2,1700.5507,1700.55065093422
901,2024,7,159108,15000260,CR-611/49 ST N,CR-683/28 ST N,42500,X,F,F,F,F,15,Pinellas,7,0,1.757,9,0,53.4,7.3,2834.7053,2834.70526338359
902,2024,2,299115,29630000,END OF 29000010,SW TUSTENUGGEE AVE,1800,X,F,F,F,D,29,Columbia,2,0,7.691,9.5,0,54.1,21.5,12361.3066,12361.3065769034
903,2024,2,349125,34527000,CR-336,SR-121,550,X,F,F,F,F,34,Levy,2,0,6.378,9.5,0,55.5,2,10257.3315,10257.3315446045
904,2024,7,159241,15000516,RIDGEMOOR BLVD,WELLINGTON PKWY,1500,X,F,F,F,F,15,Pinellas,7,0,0.76,9,0,53.4,5.9,1219.6369,1219.63692942998
905,2024,1,164157,16600000,N/A,US-98,15500,C,F,F,F,F,16,Polk,1,5.068,5.571,9,0,56,17.8,810.7144,810.714361665094
906,2024,1,174426,17000034,SR 45/US 41,MCINTOSH RD,12200,S,F,F,F,2,17,Sarasota,1,0,2.942,9,0,54,2.8,4738.374,4738.37398280227
907,2024,4,937697,93000386,EASTBAY DR,HAVERHILL RD,2700,S,F,F,F,F,93,Palm Beach,4,0,0.628,9,0,61.5,4.7,1020.9868,1020.98680415178
908,2024,3,485201,48000030,SR-292,US-98B/SR-30,25000,F,F,F,F,1,48,Escambia,3,0,0.942,9,0,55.1,3.9,1503.8629,1503.86294434303
909,2024,3,470039,47020000,NW 11TH ST,JIM DURHAM RD,5000,C,F,F,F,F,47,Calhoun,3,22.647,24.13,9.5,0,61.6,10.8,2390.9104,2390.91037216004
910,2024,5,778132,77000414,ORANGE CO LINE,BALMY BEACH DR,1100,C,F,F,F,F,77,Seminole,5,0,0.242,9,0,52.3,7.1,389.8974,389.897366235193
911,2024,1,164751,16620000,CR 557/CR 17,LEE JACKSON HWY,9500,C,F,F,F,A,16,Polk,1,0,9.291,9.5,0,56,21,15025.6646,15025.6645676275
912,2024,1,974027,16470015,SR 570 EB,PKWY FRONTAGE ROAD S,3550,C,F,F,W,F,16,Polk,8,0,0.343,9,0,99.9,14.1,551.3464,551.346425077505
913,2024,4,869736,86000255,N/A,CLEARY BLVD,10200,F,F,F,F,F,86,Broward,4,0.461,0.902,9,0,53.7,8.2,710.4534,710.453375968427
914,2024,1,174420,17000025,SR 776/ ENGLEWOOD RD,SR 45/US 41/TAMIAMI,22000,S,F,F,F,2,17,Sarasota,1,0,0.699,9,0,54,5.1,1124.9852,1124.9852182353
915,2024,3,485013,48020000,US-98/SR-292/N PACE,N A ST,15900,C,F,F,F,A,48,Escambia,3,13.473,14.409,9,0,55.1,3.2,1514.341,1514.34095877554
916,2024,1,174516,17000139,VERNA RD,MANATEE CO  LINE,2200,S,F,F,F,2,17,Sarasota,1,0,0.988,9.5,0,54,14.4,1599.118,1599.11796338691
917,2024,3,470132,47560000,CR-275,SR-71,1000,C,F,F,F,F,47,Calhoun,3,0,10.061,9.5,0,61.6,11.1,16216.5826,16216.582611061
918,2024,2,350023,35020000,GORE AT US-90/SR-10,CR-255,2500,C,F,F,F,A,35,Madison,2,0.132,4.66,9.5,0,57.3,8,7291.6594,7291.65941861041
919,2024,3,460296,46590003,SR-30/FRONT BEACH RD,US-98/SR-30A,2700,C,F,F,F,F,46,Bay,3,0,0.565,9,0,59.4,8.8,907.6402,907.640186368727
920,2024,2,309102,30503000,CR-351,END OF PAVEMENT,300,C,F,F,F,F,30,Dixie,2,0,10.892,9.5,0,58.8,13.6,17530.8089,17530.8088662926
921,2024,2,320112,32100000,SR-143,GEORGIA STATE LINE,48915,C,A,A,A,A,32,Hamilton,2,24.865,28.746,10.5,0,53.5,31.7,6247.369,6247.36895487665
922,2024,7,159238,15000422,CR-501/BELCHER RD,WESTLAKE RD,4100,X,F,F,F,F,15,Pinellas,7,0,0.782,9,0,53.4,5.9,1266.5928,1266.5927696193
923,2024,4,937697,93000380,SEMINOLE PRATT W RD,TOWN CENTER PKWY,2700,S,F,F,F,F,93,Palm Beach,4,0,2.69,9,0,61.5,4.7,4340.6171,4340.61705807189
924,2024,2,340143,34040000,N/A,N/A,10000,X,F,F,F,F,34,Levy,2,11.035,11.54,9.5,0,55.5,8.8,814.1955,814.19552560126
925,2024,6,876136,87200096,SR-953 / NW 42 AVE,SR-836 EB,5200,C,F,F,W,A,87,Miami-Dade,6,0,0.14,8,0,99.9,3.4,224.12,224.120013501654
926,2024,7,159122,15000286,US-19,COUNTRYSIDE DR,3600,S,F,F,F,F,15,Pinellas,7,0,0.711,9,0,53.4,5.9,1144.1614,1144.16144398818
927,2024,1,974060,16470000,N/A,INTERSTATE - 4,12300,C,D,D,D,F,16,Polk,8,18.596,24.38,9.5,0,56.3,14.1,9306.0459,9306.0458694126
928,2024,7,159163,15000487,WOODFIELD BLVD,MISTY HOLLOW LN,2150,C,F,F,F,F,15,Pinellas,7,0,0.568,9,0,53.4,5.9,915.467,915.466958207428
929,2024,5,777008,77502000,US-17/US-92,77470015 EB OFF,18100,C,F,F,F,A,77,Seminole,5,5.793,6.972,9,0,52.3,5.2,1901.5259,1901.52593500544
930,2024,3,480105,48020000,CR-99/BEULAH RD,SR-173/BLUE ANGEL PK,15200,F,F,F,F,1,48,Escambia,3,2.216,6.689,9,0,55.4,6.7,7236.8524,7236.85242815959
931,2024,7,159061,15000100,66 ST,US-19,5600,R,F,F,F,F,15,Pinellas,7,0,2.588,9,0,53.4,5.9,4153.9269,4153.92692819833
932,2024,3,465174,46560012,SCHOOL AVE,CR-2327/TRANSMITTER,2000,C,F,F,F,F,46,Bay,3,0,0.519,9,0,54.8,8.8,839.93,839.930038755539
933,2024,2,355020,35010000,N/A,US-221,3900,C,F,F,F,F,35,Madison,2,6.107,6.419,9.5,0,57.3,7.5,502.2426,502.24264281019
934,2024,4,971524,94470015,SR 70/OKEECHOBEE RD,SR 91 SB,8650,C,F,F,D,F,94,St. Lucie,8,0,0.615,9,0,56.5,19,977.7065,977.706508272104
935,2024,3,485059,48000050,N 12TH AVE,US-90/SR-10A,5500,F,F,F,F,F,48,Escambia,3,0,2.438,9,0,53.8,6.3,3934.075,3934.07500761833
936,2024,3,480426,48000003,CORLEY RD,SR-97/HWY 97,850,C,F,F,F,F,48,Escambia,3,0,2.162,9.5,0,53.8,6.3,3475.5781,3475.57805092833
937,2024,2,295044,29521001,US-90/SR-10,N/A,11000,X,F,F,F,F,29,Columbia,2,2.385,2.585,9,0,54.1,4,321.9785,321.978460682489
938,2024,2,349124,34526000,CR-339,GILCHRIST CO LINE,300,X,F,F,F,F,34,Levy,2,0,0.117,9.5,0,55.5,2,190.5175,190.517461204357
939,2024,7,155181,15009000,BAYSHORE BLVD,CR-1,14600,C,F,F,F,F,15,Pinellas,7,0,1.296,9,0,53.4,8.1,2085.8886,2085.88856966239
940,2024,2,324410,32100023,GORE AT I-75 SB,GORE AT SR-143,450,C,F,F,W,F,32,Hamilton,2,0,0.249,9.5,0,99.9,31.3,399.9219,399.921856040608
941,2024,7,159160,15000420,HIGHPOINT DR,CR-611/EAST LAKE RD,2800,C,F,F,F,F,15,Pinellas,7,0,0.845,9,0,53.4,5.9,1374.2322,1374.23220238403
942,2024,4,937005,93000003,US-98/SOUTHERN BLVD,N/A,6300,S,F,F,F,F,93,Palm Beach,4,0,0.863,9,0,58.6,4.7,1378.4254,1378.42539116348
943,2024,3,485220,48000034,US-98B/SR-30/W GARDE,US90/US98/SR10A/W CE,11600,C,F,F,F,A,48,Escambia,3,0.401,1.012,9,0,55.1,2.8,1009.7223,1009.72229154842
944,2024,3,470173,47010000,SE RIVER ST,LIBERTY CO LINE,10633,C,A,A,A,A,47,Calhoun,3,21.665,24.63,9.5,0,53.2,13.8,4778.2363,4778.23627491809
945,2024,5,778121,77000404,HAMMOCK LN,FLORIDA AVE,5400,C,F,F,F,F,77,Seminole,5,0,0.123,9,0,52.3,7.1,203.7299,203.729887121363
946,2024,7,159115,15000318,US1-9/SR-55/34 ST S,31 ST S,4800,C,F,F,F,F,15,Pinellas,7,0,0.251,9,0,53.4,5.9,403.9049,403.904917376512
947,2024,7,159097,15000209,BELCHER RD,US-19 FRONTAGE RD,8400,C,F,F,F,F,15,Pinellas,7,0,1.111,9,0,53.4,5.9,1778.8775,1778.87753475687
948,2024,5,770011,77502001,OHIO AVE,MARQUETTE AVE,18100,F,F,F,F,1,77,Seminole,5,0,0.806,9,0,52.3,4.8,1328.1949,1328.19488459345
949,2024,3,484047,48010058,US-90A/SR-10,SR-291,7700,F,F,F,F,F,48,Escambia,3,0,0.402,9,0,55.1,6.3,651.0289,651.028924631926
950,2024,1,174536,17000554,CENTRL SARASOTA PKWY,DEER CREEK BLVD,7600,F,F,F,F,1,17,Sarasota,1,0,0.663,9,0,54,4.5,1070.9621,1070.9621490035
951,2024,2,350079,35020000,CR-255,HAMILTON CO LINE,2100,X,F,F,F,F,35,Madison,2,4.66,8.138,9.5,0,57.3,8,5600.2694,5600.26939165479
952,2024,3,465118,46650006,SR-390,W 12TH ST,3500,F,F,F,F,1,46,Bay,3,0,0.357,9,0,54.8,6.4,575.478,575.478036178436
953,2024,3,465116,46560006,9TH ST,CR-28/11TH ST,6900,C,F,F,F,F,46,Bay,3,0.375,0.621,9,0,54.8,8.8,396.4131,396.413097252872
954,2024,3,485061,48009000,SUMMIT BLVD,LANGLEY AVE,6800,C,F,F,F,A,48,Escambia,3,0,1.775,9,0,53.8,2,2880.7472,2880.74723676502
955,2024,4,937433,93000417,BLUE HERON BLVD,27 ST,1850,S,F,F,F,2,93,Palm Beach,4,0,0.278,9,0,62.2,3.1,453.4385,453.43845703124
956,2024,3,485263,48000117,S PALAFOX ST,S TARRAGONA ST,17000,F,F,F,F,F,48,Escambia,3,1.441,1.596,9,0,55.1,6.7,249.1339,249.133946815123
957,2024,2,329956,32100000,Bridge No-320039,SR-143,47243,C,A,A,A,A,32,Hamilton,2,18.385,24.865,10.5,0,53.9,30.9,10423.9761,10423.9760855883
958,2024,7,155506,15000325,15241001 WB ON,15240002 FRNT RD S,60000,E,F,F,F,F,15,Pinellas,7,0,0.188,9,0,53.4,6.4,293.7221,293.722074743354
959,2024,5,928074,92651000,US 192,E. LAKE SHORE BLVD,8100,S,F,F,F,F,92,Osceola,5,0,1.176,9,0,53.4,5.3,1893.4114,1893.41140569577
960,2024,2,340223,34040000,N/A,N/A,6700,C,F,F,F,A,34,Levy,2,4.657,11.035,9.5,0,55.5,8.4,10281.597,10281.5969850069
961,2024,1,174473,17000088,HARBOR DR,TAMIAMI TRAIL,4900,F,F,F,F,1,17,Sarasota,1,0,1.165,9,0,53.3,1.7,1875.0774,1875.07737187127
962,2024,7,159110,15000264,54 AVE N,EAST BAY DR,15800,C,F,F,F,F,15,Pinellas,7,0,6.78,9,0,53.4,5.9,10908.4951,10908.4950602894
963,2024,7,159226,15000163,78 AV N,22 AV N,3700,X,F,F,F,F,15,Pinellas,7,0,3.511,9,0,53.4,5.9,5646.2315,5646.2314889022
964,2024,7,159160,15000497,KEYSTONE RD,N JASMINE AVE,2800,C,F,F,F,F,15,Pinellas,7,0,0.387,9,0,53.4,5.9,623.8253,623.825289939652
965,2024,7,155707,15000089,98 ST N,72 ST,32000,X,F,F,F,F,15,Pinellas,7,5.053,7.631,9,0,53.4,4.6,4147.1287,4147.12874586274
966,2024,3,485238,48000109,SR-291/N DAVIS ST,SCHOOL,4600,F,F,F,W,F,48,Escambia,3,0,0.695,9,0,99.9,6.3,1125.1487,1125.14865753215
967,2024,2,329100,32000003,SE 134 AVE,CR-132,300,C,F,F,F,F,32,Hamilton,2,0,4.054,9.5,0,56.4,18.8,6533.4374,6533.43740535229
968,2024,2,349104,34090000,SR-121,SR-55/@ GORE,475,C,F,F,F,F,34,Levy,2,8.901,9.098,9.5,0,99.9,2,317.1724,317.172430261218
969,2024,2,309110,30580000,STEINHATCHEE RIVER,CR-358/SW 875 ST,600,C,F,F,F,F,30,Dixie,2,0,0.732,9.5,0,58.8,13.6,1176.4196,1176.41956869589
970,2024,4,937693,93609000,SR-715,GLADE VIEW ELEM,1700,S,F,F,F,F,93,Palm Beach,4,0,0.457,9,0,61.5,4.7,733.2531,733.253131919079
971,2024,2,330149,33010000,SE CR-416,N/A,4602,C,A,A,A,A,33,Lafayette,2,22.887,29.779,9.5,0,54.3,16.2,11094.4555,11094.4554744609
972,2024,3,485093,48000020,SR-291,SR-289,2700,C,F,F,F,F,48,Escambia,3,0,0.667,9,0,55.1,6.3,1071.9506,1071.95055930308
973,2024,1,170016,17010000,ROCKLEY BLVD,N/A,32500,S,F,F,F,2,17,Sarasota,1,9.878,12.298,9,0,53.6,3.4,3900.0813,3900.08131805807
974,2024,7,155127,15000333,SR-686 / EAST BAY DR,MCMULLEN RD,56500,E,F,F,F,F,15,Pinellas,7,0,0.607,9,0,53.4,18.5,982.6354,982.635411400834
975,2024,4,938548,93680500,MEMORIAL PARK RD,1.115 MI WEST OF 710,41000,S,F,F,F,2,93,Palm Beach,4,0,2.601,9.5,0,58.6,7.1,4154.9441,4154.94413599252
976,2024,2,340279,34030101,GORE AT SR-121 NB,GORE AT US-19 NB,1300,C,F,F,W,F,34,Levy,2,0,0.067,9.5,0,99.9,9.2,107.3311,107.331117749547
977,2024,1,174480,17000093,LEMON BAY DR,US-41/SR-45,2300,F,F,F,F,1,17,Sarasota,1,0,1.3,9,0,53.3,7.6,2176.4852,2176.48516438479
978,2024,7,155716,15000288,Bridge No-154355,137 ST N,18000,X,F,F,F,F,15,Pinellas,7,0.161,0.807,9,0,53.4,4.6,1041.6327,1041.63268458459
979,2024,7,159227,15000173,DR MLK JR ST N,4 ST N,3700,X,F,F,W,F,15,Pinellas,7,1.491,1.994,9,0,99.99,5.9,807.0926,807.092627216682
980,2024,3,485007,48020000,N A ST,N PALAFOX ST,32000,F,F,F,F,F,48,Escambia,3,14.409,14.91,9,0,55.1,3.8,810.5313,810.531315443809
981,2024,7,155708,15000089,SR-688/WALSINGHAM RD,102 AVE N,6700,X,F,F,F,F,15,Pinellas,7,0,1.013,9,0,53.4,4.6,1629.5896,1629.58956218183
982,2024,3,485099,48004000,US-98/SR-30,CR-298A/W JACKSON ST,14300,F,F,F,F,1,48,Escambia,3,1.638,2.754,9,0,55.1,3.7,1803.8234,1803.82341343931
983,2024,4,971424,94470010,PORT ST LUCIE BLVD,SR 91 SB,6050,C,F,F,W,F,94,St. Lucie,8,0,1.027,9,0,99.9,19,1677.5558,1677.5557704675
984,2024,3,485232,48000047,US-90/SR-10A,SR-295/12TH AVE N,6100,C,F,F,F,F,48,Escambia,3,0,2.358,9,0,55.1,6.3,3794.5283,3794.52830716263
985,2024,2,319107,31511000,CR-337,CR-340/NW 182 AVE,850,R,F,F,F,F,31,Gilchrist,2,0,3.561,9.5,0,54.6,7,5737.7169,5737.71688568214
986,2024,2,340224,34070000,US-19/US-98/SR-55,N/A,1500,C,F,F,F,A,34,Levy,2,21.611,32.953,9.5,0,55.5,11.5,18232.2779,18232.2779024583
987,2024,2,260004,31010000,N/A,SW 298 ST,11500,C,F,F,F,F,31,Gilchrist,2,16.698,17.73,9.5,0,57.7,5.2,1660.8662,1660.86621625841
988,2024,2,380170,33040000,DIXIE CO LINE,N/A,600,X,F,F,F,F,33,Lafayette,2,0,7.885,9.5,0,58.9,8.7,12686.6074,12686.6074240051
989,2024,7,159103,15000254,CENTRAL AVE,22 AVE N,22000,C,F,F,F,F,15,Pinellas,7,0,1.473,9,0,53.4,5.9,2370.1025,2370.10254590167
990,2024,7,155180,15009000,CR611/MCMULLEN BOOTH,SR-584/TAMPA RD,19900,C,F,F,F,F,15,Pinellas,7,4.395,5.312,9,0,53.4,8.1,1475.8861,1475.8861032239
991,2024,1,170068,17000583,LAUREL RD,GATE TO LANDFILL,8500,F,F,F,F,1,17,Sarasota,1,0,4.564,9,0,54,28.5,7348.7788,7348.77881810294
992,2024,1,174422,17000030,US41/SR45/MOUND ST,MYRTLE ST,7400,S,F,F,F,2,17,Sarasota,1,0,2.742,9,0,54,4.9,4396.3582,4396.35822497355
993,2024,1,164114,16730502,OLD GRADE RD,SR 25/US 27,7600,C,F,F,F,A,16,Polk,1,3.698,10.473,9,0,56,19.9,10907.8698,10907.8697978157
994,2024,1,974056,16470042,OLD DIXIE HIGHWAY,SR 570 WB,1700,C,F,F,W,F,16,Polk,8,0,0.346,9,0,99.9,14.1,545.8976,545.897620262489
995,2024,1,174593,17000121,PACKINGHOUSE RD,N/A,6800,F,F,F,F,1,17,Sarasota,1,0,0.868,9,0,54,7.9,1396.8323,1396.83231838896
996,2024,2,324405,32100018,GORE AT SR-6,GORE AT I-75 NB,1900,C,F,F,W,F,32,Hamilton,2,0,0.248,9.5,0,99.9,31.3,397.5852,397.585184859225
997,2024,4,869735,86000254,SR-817/UNIVERSITY DR,SR-842/W BROWARD BLV,9800,S,F,F,F,2,86,Broward,4,0,1.2,9,0,53.7,0.7,1945.1245,1945.12453241078
998,2024,1,164975,16841501,CR542/HATCHINEHA RD,CR544/LK MARION RD,1500,F,F,F,F,1,16,Polk,1,0,3.301,9.5,0,56,11.5,5305.0133,5305.01325083721
999,2024,3,470016,47550000,CR-549/DR MW ELDRIDG,N/A,450,F,F,F,F,F,47,Calhoun,3,0.033,6.25,9.5,0,61.6,11.1,10035.8517,10035.851653443
1000,2024,2,300004,30030000,US-19/US-98/US-27A,N/A,6600,C,F,F,F,F,30,Dixie,2,23.492,28.089,9.5,0,58.8,12.1,7404.585,7404.58495332683
1001,2024,2,349127,34533000,CR-40,US-19/US-98/SR-55,750,X,F,F,F,F,34,Levy,2,0,3.785,9.5,0,55.5,2,6091.4595,6091.4595208856
1002,2024,7,150048,15007000,SR-686/E BAY DR,BELLEAIR RD,32000,E,F,F,F,F,15,Pinellas,7,0,1.535,9,0,53.4,4,2470.0958,2470.0957696794
1003,2024,2,324408,32100024,GORE AT I-75 NB,GORE AT SR-143,250,C,F,F,W,F,32,Hamilton,2,0,0.208,9.5,0,99.9,31.3,347.639,347.639003703138
1004,2024,7,159161,15000425,LANSBROOK PKWY,BRYAN LN,2600,C,F,F,F,F,15,Pinellas,7,0,0.863,9,0,53.4,5.9,1388.7556,1388.75560005097
1005,2024,4,938509,93000001,MILITARY TRAIL,NW 2 AVE,26500,C,F,F,F,F,93,Palm Beach,4,5.155,7.701,9,0,58.6,4.7,4090.0965,4090.09651162907
1006,2024,3,485100,48000043,SR-289/N 9TH AVE,E MAXWELL ST,3500,C,F,F,F,F,48,Escambia,3,0,1.552,9,0,55.1,6.3,2506.3989,2506.39894111087
1007,2024,3,470101,47010000,CR-275,SW 11TH ST,6200,F,F,F,F,1,47,Calhoun,3,14.896,20.632,9.5,0,61.6,16.7,9243.9569,9243.95694926004
1008,2024,6,872506,87200000,Bridge No-870366, W END MACARTHUR BRD,168500,C,F,F,F,F,87,Miami-Dade,6,11.8,13.048,8,0,52.5,4,2005.7629,2005.76294607279
1009,2024,1,164727,16590000,SR 60,SR 60,3800,S,F,F,F,2,16,Polk,1,0,7.169,9.5,0,56,13.1,11529.5403,11529.5403002058
1010,2024,1,974047,16470000,N/A,16470036 RAMP,16400,C,D,D,D,F,16,Polk,8,12.619,14.514,9.5,0,56.3,14.1,3048.9067,3048.90670199335
1011,2024,5,778093,77502000,LAKE EMMA RD,GREENWOOD BLVD,18500,C,F,F,F,F,77,Seminole,5,1.495,2.132,9,0,52.3,7.1,1027.2652,1027.26515702537
1012,2024,3,484039,48012000,US-29/SR-95/N PALAFO,TO I-110 SB,36500,F,F,F,F,1,48,Escambia,3,3.569,4.43,9,0,55.1,3.4,1391.2525,1391.25247318589
1013,2024,1,174534,17000547,US41/SR45/TAMIAMI TR,CENTER RD,7300,F,F,F,F,1,17,Sarasota,1,0,2.066,9,0,54,3.6,3322.7624,3322.76239146337
1014,2024,2,295041,29521001,SW MARVIN BURNETT RD,SWSISTERS WELCOME RD,15200,C,F,F,F,A,29,Columbia,2,0.673,1.237,9,0,54.1,1.2,907.6192,907.619171652346
1015,2024,3,465124,46540000,SR-22,CR-28/11TH ST,5900,F,F,F,F,1,46,Bay,3,0,1.006,9,0,54.8,5.6,1619.3839,1619.38389119907
1016,2024,3,484019,48004000,US-29/SR-95/PALAFOX,SR-291/N DAVIS HWY,39500,F,F,F,F,F,48,Escambia,3,9.008,9.647,9,0,55.1,7.1,1032.902,1032.90196518584
1017,2024,4,971383,94470004,SR 91 SB,BECKER ROAD,950,C,F,F,W,F,94,St. Lucie,8,0,0.354,9,0,99.9,19,567.4622,567.462168508902
1018,2024,3,485241,48000115,E JACKSON ST,E BLOUNT ST,2200,F,F,F,F,F,48,Escambia,3,0.833,1.432,9,0,55.1,6.3,964.7502,964.75015204964
1019,2024,2,320218,32010000,N/A,N/A,2000,C,F,F,F,F,32,Hamilton,2,4.697,16.538,9.5,0,56.4,12.9,19054.828,19054.8280469628
1020,2024,7,159146,15000329,ARKANSAS AV NE,OVERLOOK DR NE,6100,X,F,F,F,F,15,Pinellas,7,0,0.386,9,0,53.4,5.9,625.0814,625.08141958496
1021,2024,4,937370,93832000,N/A,N/A,39000,F,F,F,F,F,93,Palm Beach,4,2.562,3.651,9,0,58.6,4.7,1753.3477,1753.34768508815
1022,2024,2,310048,34020000,CR-346A,GILCHRIST CO LINE,6400,C,F,F,F,F,34,Levy,2,6.326,7.832,9.5,0,54.6,7.7,2427.1789,2427.17892512538
1023,2024,1,174470,17000075,SR-45/US-41,US-41 BY PASS,5200,S,F,F,F,2,17,Sarasota,1,0,2.163,9,0,54,5.4,3478.7442,3478.74416791584
1024,2024,7,159129,15000294,SKY HARBOR ESTATES,GULF TO BAY BLVD,3400,C,F,F,F,F,15,Pinellas,7,0.554,0.733,9,0,53.4,5.9,281.717,281.717009367087
1025,2024,7,159090,15000185,US-19 NB FRONTAGE RD,BAYSHORE BLVD,19700,C,F,F,F,F,15,Pinellas,7,0,1.59,9,0,53.4,7.3,2575.6727,2575.6726973657
1026,2024,7,159120,15000489,COUNTYSIDE BLVD,ENTERPRISE RD E,7900,C,F,F,F,F,15,Pinellas,7,0,0.351,9,0,53.4,5.9,577.1344,577.134421797782
1027,2024,7,159070,15000121,PARK ST N,US-19A/TYRONE BLVD,5500,R,F,F,F,F,15,Pinellas,7,0,1.922,9,0,53.4,5.9,3093.6596,3093.65964461246
1028,2024,3,480432,48000086,CR-99/N HWY 99,CR-164/HWY 164,200,F,F,F,F,F,48,Escambia,3,0,0.892,9.5,0,53.8,6.3,1437.2755,1437.27553077877
1029,2024,2,319120,31562000,SR-26,CR-344,1100,F,F,F,F,F,31,Gilchrist,2,0,3.769,9.5,0,54.6,7,6065.395,6065.39504604796
1030,2024,2,349103,34060000,US-41/SR-45,MARION CO LINE,2100,C,F,F,F,F,34,Levy,2,0,2.656,9.5,0,55.5,2,4275.0449,4275.04490969532
1031,2024,2,310116,31030000,SR-26/WADE ST,NE LANCASTER ST,8100,C,F,F,F,F,31,Gilchrist,2,2.099,2.296,9.5,0,54.6,9.6,317.1378,317.137782711859
1032,2024,4,937689,93599000,SW AVE G,DR MLK JR BLVD,2700,S,F,F,F,F,93,Palm Beach,4,0,0.305,9,0,61.5,4.7,507.1886,507.188622592372
1033,2024,2,339106,33506001,SW CR-534,SW CR-350,70,X,F,F,F,F,33,Lafayette,2,0,2.605,9.5,0,58,16.2,4189.2342,4189.2342137779
1034,2024,2,349137,34670000,SR-121,US-41/SR-45,600,F,F,F,F,F,34,Levy,2,0,6.867,9.5,0,55.5,2,11042.1697,11042.1696671928
1035,2024,2,320026,32010000,COLUMBIA CO LINE,CR-135/THIRD ST,3500,C,F,F,F,F,32,Hamilton,2,0,0.78,9.5,0,56.4,12.9,1255.2539,1255.25394610752
1036,2024,7,150096,15003000,N/A,15003002 WB ON,47000,S,F,F,F,F,15,Pinellas,7,0.428,0.666,8,0,58.3,4,382.6703,382.670297559226
1037,2024,1,174551,17000569,SR 45/US 41,W PRICE BLVD,6500,F,F,F,F,1,17,Sarasota,1,0,2.518,9,0,54,5.1,4056.9853,4056.98534285651
